Day,Price
1,109.97317193800008
2,110.30647916261778
3,110.04697383046792
4,110.3124933872878
5,110.68374238275797
6,110.12520588695295
7,110.11192125220786
8,109.04889975362245
9,108.67699063312585
10,109.18218953639725
11,109.4425409483952
12,110.01836535808478
13,109.86661263473643
14,109.14851981282149
15,109.1299247016237
16,109.8555310607455
17,109.611163325547
18,109.59044762835954
19,109.60799706775087
20,109.00129089850716
21,108.49369921934752
22,109.33123451035087
23,109.69011551029878
24,108.8870434022376
25,108.40250952165525
26,108.16552853693966
27,108.52200296272004
28,108.11319799935457
29,108.37058858278664
30,108.521284972647
31,107.67369936014784
32,107.33838759320147
33,107.05700674114227
34,106.47380733298056
35,106.60979075320284
36,107.01762414857123
37,106.59344492134933
38,106.56505047248768
39,106.58190922763089
40,106.07512746723009
41,106.31281074856643
42,106.54367946423797
43,107.04763799210204
44,106.55154340986012
45,106.86378883537083
46,107.30570426016297
47,107.8237530951933
48,108.88129372248284
49,108.55338864622517
50,108.60396428550705
51,108.16238634874203
52,108.98778121159576
53,108.55522087712772
54,108.40767173185665
55,107.70979539068232
56,107.92318839194553
57,107.56854690133916
58,108.03391777162174
59,108.6584281809295
60,110.72234917433234
61,110.39230428937718
62,110.22450741387803
63,110.19293059008548
64,110.65779180733612
65,112.01179501742625
66,111.3839159689903
67,111.72089278422237
68,111.83030254720086
69,111.53755341714438
70,112.6837323780563
71,112.54272369623264
72,112.03539637215633
73,112.00953141193125
74,112.66517248876447
75,112.48025602801776
76,112.20081727460216
77,111.65152714147368
78,111.66026252569166
79,111.9385490174764
80,112.07878023699311
81,112.33991767585691
82,111.99420390686718
83,110.5973139442234
84,109.70891599903679
85,110.78027012509932
86,111.33567442111476
87,112.97244089601055
88,113.57739274176933
89,113.23947459827487
90,113.01852696827069
91,112.47629832081228
92,112.65115044676287
93,113.34987142921281
94,113.7452280265691
95,113.88888406564777
96,114.49670002775936
97,113.89220056633829
98,112.92105770081658
99,112.3923137197321
100,113.44735063213714
101,113.2440489233186
102,113.33909943178249
103,113.78510040563005
104,114.50461450834214
105,114.597130653371
106,114.71210232352988
107,113.03877047431621
108,112.34544280957547
109,112.41502995943534
110,112.54975743404741
111,111.08511614630905
112,111.1701832589942
113,111.6845229243702
114,111.62107916735893
115,110.96011994065385
116,110.77215140963999
117,111.52853313393176
118,111.78417783434222
119,112.83911632151589
120,112.71694983221303
121,112.97043114043161
122,113.12484886235197
123,112.5071251511505
124,111.49632203505281
125,111.89253544303503
126,112.48351704649839
127,114.94433172791604
128,114.67374535181743
129,113.81818615489706
130,113.85092600755279
131,113.09174490073835
132,112.00406501416306
133,112.34090045040891
134,112.51704367539772
135,113.22407930047507
136,113.66683390489291
137,114.04512838384204
138,114.22719066344955
139,113.89237293610759
140,114.24579954935983
141,112.80382192259812
142,112.55089120441575
143,112.04774898712797
144,113.06429359430447
145,113.4759649861704
146,112.71570337223018
147,112.64750955362088
148,111.7242497783248
149,112.44918754884681
150,112.04475477729859
