Price,Close,High,Low,Open,Volume
Ticker,JPM,JPM,JPM,JPM,JPM
Date,,,,,
2010-01-04,29.00675392150879,29.101527285366227,28.207967930881253,28.289202242759057,35460500
2010-01-05,29.568613052368164,29.6769228862398,28.959368622896378,28.966139440062804,41208300
2010-01-06,29.731061935424805,29.84614253004096,29.31813267157907,29.41290340696363,27729000
2010-01-07,30.320016860961914,30.543404787184805,29.52123078332049,29.643079682100396,44864700
2010-01-08,30.245548248291016,30.25908729945814,29.839387042517068,30.035696828665493,33110100
2010-01-11,30.14399528503418,30.590773475779688,29.995070942991674,30.543388105724027,31878700
2010-01-12,29.44000244140625,29.886780927707406,29.067684884229696,29.778471069886237,47109600
2010-01-13,29.95446014404297,30.144001664378088,29.020286426673604,29.480603760895637,39622000
2010-01-14,30.252307891845703,30.320003128457643,29.85291503391759,29.92061027052953,37938300
2010-01-15,29.568613052368164,30.07631588282461,29.33845433260217,29.988313335831986,69738500
2010-01-19,29.297849655151367,29.616011057422124,29.040615304088128,29.37908400188724,41731500
2010-01-20,29.379066467285156,29.568607998587098,28.911978290420105,29.115058871430712,39934400
2010-01-21,27.44302749633789,29.209833537230278,27.294100525133228,29.135370051627948,137547700
2010-01-22,26.50884246826172,27.889794028924143,26.278683874817983,27.517479340729228,106634900
2010-01-25,26.542692184448242,27.003009430228516,26.292226283226604,26.91500692027695,56572200
2010-01-26,26.02147102355957,26.969184354467046,25.913161149939665,26.400556872384776,52975300
2010-01-27,26.62393569946289,26.732245525323624,25.770993561288414,25.960535110967214,66314300
2010-01-28,26.7254638671875,27.104549395074937,26.210993048627095,26.860851740169363,65047400
2010-01-29,26.35992431640625,26.975936847266265,26.265153555090798,26.840551520992516,53649000
2010-02-01,26.827022552490234,27.030103200520507,26.366705039722667,26.468244072582532,37408200
2010-02-02,27.44980239868164,27.537804955981795,26.874406823026966,26.942099508759128,45968500
2010-02-03,27.273794174194336,27.82211152819499,27.192559869497288,27.470106537080696,37373300
2010-02-04,25.96053123474121,27.023322049283802,25.96053123474121,26.93532210424951,57211800
2010-02-05,25.926681518554688,26.319306141361015,25.06697138662873,26.156840156883757,75224100
2010-02-08,25.520517349243164,25.91991015628462,25.26328064751081,25.91991015628462,58321000
2010-02-09,25.987613677978516,26.197465099098935,25.615298806315185,25.852225747652763,45173500
2010-02-10,26.312532424926758,26.739003327629117,26.075605580263744,26.156837272389787,39331800
2010-02-11,26.414094924926758,26.651021957488457,25.967316390445426,26.29224599894903,33830600
2010-02-12,26.366697311401367,26.522392515332562,25.967304368339676,26.177153190794435,38051100
2010-02-16,27.124862670898438,27.17224804957507,26.231306126839876,26.623930787085634,46425300
2010-02-17,27.10455322265625,27.382097239423565,26.915009140791533,27.253477579888713,34644100
2010-02-18,27.35502815246582,27.422720829652533,26.92178882092657,27.03686688860601,31809500
2010-02-19,27.09778594970703,27.55133506018104,27.009786003302043,27.15194214654973,40290200
